siren,nic,siret,trancheEffectifsEtablissement,etablissementSiege,categorieJuridiqueUniteLegale,denominationUniteLegale,activitePrincipaleUniteLegale,trancheEffectifsUniteLegale,categorieEntreprise,complementAdresseEtablissement,numeroVoieEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,distributionSpecialeEtablissement,codeCommuneEtablissement,codeCedexEtablissement,libelleCedexEtablissement,enseigne1Etablissement,denominationUsuelleEtablissement,activitePrincipaleEtablissement,caractereEmployeurEtablissement,naf.niv4,naf.niv3,naf.niv2,sectionActivitePrincipaleUniteLegale,libelleSectionActivitePrincipaleUniteLegale,libelleActivitePrincipaleUniteLegale,tranche_ca_millesime_1,tranche_ca_millesime_2,tranche_ca_millesime_3,CA,nom_zone_d_activite
300458841,00032,30045884100032,01,true,5710,SCHERDEL SA,46.69B,01,PME,,6,AV,JEAN PRECHEUR,67120,DUPPIGHEIM,,67108,,,,,46.69B,O,46.69,46.6,46,G,Commerce ; réparation d'automobiles et de motocycles,Commerce de gros (commerce interentreprises) de fournitures et équipements industriels divers,,,,,plaine bruche
302474069,00044,30247406900044,12,true,5710,SARL GEMU,46.69B,12,PME,,1,RUE,JEAN BUGATTI,67120,DUPPIGHEIM,,67108,,,,,46.69B,O,46.69,46.6,46,G,Commerce ; réparation d'automobiles et de motocycles,Commerce de gros (commerce interentreprises) de fournitures et équipements industriels divers,,,,,plaine bruche
305062986,00024,30506298600024,12,true,5710,ETABLISSEMENTS ROBERT GEISTEL,43.32B,12,PME,,3,RUE,DES PIONNIERS,67120,DUTTLENHEIM,,67112,,,,,43.32B,O,43.32,43.3,43,F,Construction,Travaux de menuiserie métallique et serrurerie,,,,,plaine bruche
308877224,00037,30887722400037,03,true,5499,CLOTURES FLECK,43.32A,03,PME,ZONE INDUSTRIELLE,4,RUE,AMPERE,67120,DUTTLENHEIM,,67112,,,,,43.32A,O,43.32,43.3,43,F,Construction,Travaux de menuiserie bois et PVC,,,,,plaine bruche
310643515,00060,31064351500060,12,false,5710,XPO SUPPLY CHAIN FROID FRANCE,52.24B,31,GE,Z A PARC DE LA BRUCHE,2,RUE,CLAUDE CHAPPE,67120,DUPPIGHEIM,,67108,,,,,52.10A,O,52.24,52.2,52,H,Transports et entreposage,Manutention non portuaire,,,,,plaine bruche
310643515,00128,31064351500128,11,false,5710,XPO SUPPLY CHAIN FROID FRANCE,52.24B,31,GE,,7,RUE,CLAUDE CHAPPE,67120,DUPPIGHEIM,,67108,,,,,52.10A,O,52.24,52.2,52,H,Transports et entreposage,Manutention non portuaire,,,,,plaine bruche
310643515,00169,31064351500169,11,false,5710,XPO SUPPLY CHAIN FROID FRANCE,52.24B,31,GE,PAE DE PLAINE DE LA BRUCHE,1,RUE,DENIS PAPIN,67120,DUTTLENHEIM,,67112,67129,MOLSHEIM CEDEX,,,52.10A,O,52.24,52.2,52,H,Transports et entreposage,Manutention non portuaire,,,,,plaine bruche
312478266,02294,31247826602294,01,false,5710,ALSACIENNE DE RESTAURATION,56.29B,41,GE,ZONE INDUSTRIELLE,1,RUE,DENIS PAPIN,67120,DUTTLENHEIM,,67112,,,REF INTERNE   653321,,56.29A,O,56.29,56.2,56,I,Hébergement et restauration,Autres services de restauration n.c.a.,,,,,plaine bruche
318099082,00022,31809908200022,03,true,5499,TRANSPORTS ET TP HIRSCHNER MATT,49.41B,03,PME,,1,RUE,DU CALVAIRE,67120,DUPPIGHEIM,,67108,,,,,49.41B,O,49.41,49.4,49,H,Transports et entreposage,Transports routiers de fret de proximité,,,,,plaine bruche
318175031,00018,31817503100018,11,true,5710,RUSTYLE,16.23Z,11,PME,PARC PLAINE DE LA BRUCHE,4,RUE,DENIS PAPIN,67120,DUTTLENHEIM,,67112,,,,,16.23Z,O,16.23,16.2,16,C,Industrie manufacturière,Fabrication de charpentes et d'autres menuiseries,E + d 1M,E + d 1M,A - de 32K,2547695,plaine bruche
321970329,00025,32197032900025,03,true,5710,ENTREPRISE JACQUES,43.32B,03,PME,ZONE INDUSTRIELLE,28,RUE,AMPERE,67120,DUTTLENHEIM,,67112,,,,,43.32B,O,43.32,43.3,43,F,Construction,Travaux de menuiserie métallique et serrurerie,,,,,plaine bruche
324045244,00021,32404524400021,11,true,5499,FROID GILBERT,33.20B,11,PME,ZONE INDUSTRIELLE,13,RUE,GUTENBERG,67120,DUTTLENHEIM,,67112,,,,,33.20B,O,33.20,33.2,33,C,Industrie manufacturière,Installation de machines et équipements mécaniques,A - de 32K,A - de 32K,A - de 32K,,plaine bruche
324643956,00034,32464395600034,01,true,5499,MULLER FRERES SARL,43.31Z,01,PME,,4,RUE,DES PLATANES,67120,DUPPIGHEIM,,67108,,,,,43.31Z,O,43.31,43.3,43,F,Construction,Travaux de plâtrerie,,,,,plaine bruche
324823673,00045,32482367300045,,false,5499,COTENNIS,41.20B,11,PME,,8,AV,DE LA CONCORDE,67120,ERNOLSHEIM-BRUCHE,,67128,,,,,52.10B,N,41.20,41.2,41,F,Construction,Construction d'autres bâtiments,,,,,plaine bruche
330285131,00125,33028513100125,,true,5710,POTAMI,47.71Z,11,PME,,3,RUE,DES PIONNIERS,67120,DUTTLENHEIM,,67112,,,,,47.71Z,O,47.71,47.7,47,G,Commerce ; réparation d'automobiles et de motocycles,Commerce de détail d'habillement en magasin spécialisé,,,,,plaine bruche
331224733,00021,33122473300021,02,true,5499,MACHINES A CAFE DE L EST,46.69C,02,PME,,10,,AMPERE,67120,DUTTLENHEIM,,67112,,,,,46.69C,O,46.69,46.6,46,G,Commerce ; réparation d'automobiles et de motocycles,Commerce de gros (commerce interentreprises) de fournitures et équipements divers pour le commerce et les services,E + d 1M,E + d 1M,E + d 1M,,plaine bruche
331930248,00017,33193024800017,12,true,5499,BRUCHE TRANSPORTS,49.41A,12,PME,,1,RUE,GUTENBERG,67120,DUTTLENHEIM,,67112,,,,,49.41A,O,49.41,49.4,49,H,Transports et entreposage,Transports routiers de fret interurbains,,,,,plaine bruche
334819083,00034,33481908300034,11,true,5710,ADAC - AGENCE D'ACTIONS COMMERCIALES,46.44Z,11,PME,,22,RUE,AMPERE,67120,DUTTLENHEIM,,67112,,,,,46.44Z,O,46.44,46.4,46,G,Commerce ; réparation d'automobiles et de motocycles,"Commerce de gros (commerce interentreprises) de vaisselle, verrerie et produits d'entretien",,,,,plaine bruche
337700595,00016,33770059500016,12,true,5710,EUROPROCESS,17.29Z,12,PME,,3,RUE,DE L ARTISANAT,67120,DUPPIGHEIM,,67108,,,,,17.29Z,O,17.29,17.2,17,C,Industrie manufacturière,Fabrication d'autres articles en papier ou en carton,,,,,plaine bruche
338286958,00040,33828695800040,11,true,5710,MGC DIAGNOSTICS FRANCE,47.74Z,11,PME,,,,3 RUE DES PIONNIERS,67120,DUTTLENHEIM,,67112,,,MGC DIAGNOSTICS FRANCE,,47.74Z,O,47.74,47.7,47,G,Commerce ; réparation d'automobiles et de motocycles,Commerce de détail d'articles médicaux et orthopédiques en magasin spécialisé,,,,,plaine bruche
340103985,00024,34010398500024,NN,false,5558,MADER SA,43.99C,22,PME,,7,RUE,GUTENBERG,67120,DUTTLENHEIM,,67112,,,,,43.99C,N,43.99,43.9,43,F,Construction,Travaux de maçonnerie générale et gros œuvre de bâtiment,,,,,plaine bruche
341371623,00024,34137162300024,03,true,5499,A.B.M.S.,25.62B,03,PME,,11,RUE,GUTENBERG,67120,DUTTLENHEIM,,67112,,,,,25.62B,O,25.62,25.6,25,C,Industrie manufacturière,Mécanique industrielle,A - de 32K,A - de 32K,A - de 32K,,plaine bruche
343043360,00209,34304336000209,,false,5710,DODIN CAMPENON BERNARD,42.13A,41,GE,,34,RUE,AMPERE,67120,DUTTLENHEIM,,67112,,,,,42.13A,O,42.13,42.1,42,F,Construction,Construction d'ouvrages d'art,,,,,plaine bruche
343056958,00170,34305695800170,11,false,5710,JOHSON CONTROLS INDUSTRIES,33.20B,41,ETI,,,RUE,DE L'ARTISANAT,67120,DUPPIGHEIM,,67108,,,,,33.20B,O,33.20,33.2,33,C,Industrie manufacturière,Installation de machines et équipements mécaniques,,,,,plaine bruche
343231932,00025,34323193200025,03,false,5710,LOHR IMMOBILIER,66.19A,03,ETI,ZONE INDUSTRIELLE,,,ZONE INDUSTRIELLE,67120,DUPPIGHEIM,,67108,,,,,68.32B,O,66.19,66.1,66,K,Activités financières et d'assurance,Supports juridiques de gestion de patrimoine mobilier,,,,,plaine bruche
343231932,00058,34323193200058,NN,false,5710,LOHR IMMOBILIER,66.19A,03,ETI,,,AV,DE LA CONCORDE,67120,ERNOLSHEIM-BRUCHE,,67128,,,,,68.20B,N,66.19,66.1,66,K,Activités financières et d'assurance,Supports juridiques de gestion de patrimoine mobilier,,,,,plaine bruche
344314406,00044,34431440600044,11,true,5499,EST-ARRO,46.61Z,11,PME,,6,AV,JEAN PRECHEUR,67120,DUPPIGHEIM,,67108,,,,,46.61Z,O,46.61,46.6,46,G,Commerce ; réparation d'automobiles et de motocycles,Commerce de gros (commerce interentreprises) de matériel agricole,,,,,plaine bruche
345329122,00021,34532912200021,11,true,5710,STAR AUTOS,45.20A,11,PME,,1,AV,JEAN PRECHEUR,67120,DUPPIGHEIM,,67108,,,LOW COST REPAR'AUTOS,LOW COST REPAR'AUTOS,45.20A,O,45.20,45.2,45,G,Commerce ; réparation d'automobiles et de motocycles,Entretien et réparation de véhicules automobiles légers,,,,,plaine bruche
348741596,00012,34874159600012,11,true,5599,STRUB,46.73A,11,ETI,ZONE INDUSDRIELLE,,AV,JEAN PRECHEUR,67120,DUPPIGHEIM,CS 69305,67108,67127,MOLSHEIM CEDEX,,,46.73A,O,46.73,46.7,46,G,Commerce ; réparation d'automobiles et de motocycles,Commerce de gros (commerce interentreprises) de bois et de matériaux de construction,,,,,plaine bruche
351531959,00044,35153195900044,01,true,5499,SARL NEPTUNE,43.32C,01,PME,,16,RUE,LOUIS AMPERE,67120,DUTTLENHEIM,,67112,,,,,43.32C,O,43.32,43.3,43,F,Construction,Agencement de lieux de vente,,,,,plaine bruche
351791850,00016,35179185000016,12,true,5710,ETS FAUST,25.11Z,12,PME,,18,RUE,AMPERE,67120,DUTTLENHEIM,,67112,,,,,25.11Z,O,25.11,25.1,25,C,Industrie manufacturière,Fabrication de structures métalliques et de parties de structures,E + d 1M,E + d 1M,E + d 1M,,plaine bruche
352647242,00010,35264724200010,01,true,5499,ELECTRICITE SPIESSER,43.21A,01,PME,,6,RUE,DE L ARTISANAT,67120,DUPPIGHEIM,,67108,,,,,43.21A,N,43.21,43.2,43,F,Construction,Travaux d'installation électrique dans tous locaux,,,,,plaine bruche
353387624,00029,35338762400029,11,true,5499,LUX ZENITHAL,43.32B,11,PME,,,RUE,AMPERE,67120,DUTTLENHEIM,,67112,,,,,43.32B,O,43.32,43.3,43,F,Construction,Travaux de menuiserie métallique et serrurerie,,,,,plaine bruche
353387624,00045,35338762400045,NN,false,5499,LUX ZENITHAL,43.32B,11,PME,,1,RUE,DES PIONNIERS,67120,DUTTLENHEIM,,67112,,,,,43.32B,N,43.32,43.3,43,F,Construction,Travaux de menuiserie métallique et serrurerie,,,,,plaine bruche
353897051,00028,35389705100028,11,true,5499,LES COUVREURS RHENANS,43.91B,11,PME,,5,RUE,DE L'ARTISANAT,67120,DUPPIGHEIM,,67108,,,,,43.91B,O,43.91,43.9,43,F,Construction,Travaux de couverture par éléments,,,,,plaine bruche
378687438,00028,37868743800028,21,false,5710,LOHR SERVICE,45.20B,22,ETI,,,,ZONE INDUSTRIELLE,67120,DUPPIGHEIM,,67108,,,,,29.20Z,O,45.20,45.2,45,G,Commerce ; réparation d'automobiles et de motocycles,Entretien et réparation d'autres véhicules automobiles,,,,,plaine bruche
378992895,00789,37899289500789,11,false,5710,XPO SUPPLY CHAIN FRANCE,52.10B,51,GE,MOLSHEIM ZI DUPPIGHEIM,,RUE,CLAUDE CHAPPE,67120,DUPPIGHEIM,,67108,,,STOCKALLIANCE,,52.10B,O,52.10,52.1,52,H,Transports et entreposage,Entreposage et stockage non frigorifique,,,,,plaine bruche
380507368,00047,38050736800047,,false,5710,TSURUMI FRANCE,46.69B,11,PME,,11,AV,DE LA CONCORDE,67120,ERNOLSHEIM-BRUCHE,,67128,,,,TSURUMI POMPES LOCATION - TPL,46.69B,O,46.69,46.6,46,G,Commerce ; réparation d'automobiles et de motocycles,Commerce de gros (commerce interentreprises) de fournitures et équipements industriels divers,,,,,plaine bruche
380947861,00015,38094786100015,21,true,5710,SAINT-GOBAIN GLASS SOLUTIONS NORD EST,23.12Z,31,GE,ZI,8,RUE,DENIS PAPIN,67120,DUTTLENHEIM,,67112,,,WEHR MIROITERIE - SOCIETE VERRIERE FRANCAISE,,23.12Z,O,23.12,23.1,23,C,Industrie manufacturière,Façonnage et transformation du verre plat,,,,,plaine bruche
383162955,00058,38316295500058,32,false,5710,BESTFOODS FRANCE INDUSTRIES - BFI,10.89Z,32,GE,,5,,JEAN PRECHEUR,67120,DUPPIGHEIM,,67108,,,,,10.89Z,O,10.89,10.8,10,C,Industrie manufacturière,Fabrication d'autres produits alimentaires n.c.a.,,,,,plaine bruche
392213146,00013,39221314600013,NN,false,5710,ALSAPAN,31.09B,41,ETI,,,AV,JEAN PRECHEUR,67120,DUPPIGHEIM,BP 10,67108,67127,MOLSHEIM CEDEX,,,16.10A,O,31.09,31.0,31,C,Industrie manufacturière,Fabrication d'autres meubles et industries connexes de l'ameublement,,,,,plaine bruche
395262363,00025,39526236300025,03,true,5499,CONCEPTSEAL,22.29A,03,PME,,1,AV,DE LA CONCORDE,67120,ERNOLSHEIM-BRUCHE,,67128,,,,,22.29A,O,22.29,22.2,22,C,Industrie manufacturière,Fabrication de pièces techniques à base de matières plastiques,,,,,plaine bruche
400850301,00013,40085030100013,21,true,5499,INTERCARAT,22.19Z,21,PME,,1,RUE,JEAN BUGATTI,67120,DUPPIGHEIM,,67108,,,,,22.19Z,O,22.19,22.1,22,C,Industrie manufacturière,Fabrication d'autres articles en caoutchouc,,,,,plaine bruche
401369772,00025,40136977200025,12,true,5710,MANUEST CONCEPT,30.99Z,12,ETI,,11,RUE,AMPERE,67120,DUTTLENHEIM,,67112,,,,,30.99Z,O,30.99,30.9,30,C,Industrie manufacturière,Fabrication d'autres équipements de transport n.c.a.,,,,,plaine bruche
401477013,00015,40147701300015,12,true,5710,METALTEX FRANCE,46.49Z,12,PME,ZONE INDUSTRIELLE,,RUE,CLAUDE CHAPPE,67120,DUPPIGHEIM,,67108,,,,,46.49Z,O,46.49,46.4,46,G,Commerce ; réparation d'automobiles et de motocycles,Commerce de gros (commerce interentreprises) d'autres biens domestiques,,,,,plaine bruche
405194721,00032,40519472100032,01,true,5499,FORMTECH,71.12B,01,PME,,2,RUE,JEAN BUGATTI,67120,DUPPIGHEIM,,67108,,,,,71.12B,O,71.12,71.1,71,M,"Activités spécialisées, scientifiques et techniques","Ingénierie, études techniques",,,,,plaine bruche
409210192,00020,40921019200020,12,true,5710,2CI CASPAR CONFECTION INDUSTRIE,13.92Z,12,ETI,ZI,1,RUE,DE LA GARE,67120,DUPPIGHEIM,,67108,,,,,13.92Z,O,13.92,13.9,13,C,Industrie manufacturière,"Fabrication d'articles textiles, sauf habillement",,,,,plaine bruche
409407517,00013,40940751700013,01,true,5499,ASSIST PROPRENET,81.21Z,01,PME,,1,RUE,DE L'ARTISANAT,67120,DUPPIGHEIM,,67108,,,,,81.21Z,O,81.21,81.2,81,N,Activités de services administratifs et de soutien,Nettoyage courant des bâtiments,,,,,plaine bruche
410335855,00319,41033585500319,,false,5710,VINCI CONSTRUCTION TERRASSEMENT,43.12B,42,GE,,34,RUE,AMPERE,67120,DUTTLENHEIM,,67112,,,VINCI CONSTRUCTION TERRASSEMENT,VINCI CONSTRUCTION TERRASSEMENT,43.12A,O,43.12,43.1,43,F,Construction,Travaux de terrassement spécialisés ou de grande masse,,,,,plaine bruche
417721230,00023,41772123000023,02,true,5499,BERTRAND SARL,82.99Z,02,PME,,7,RUE,GUTENBERG,67120,DUTTLENHEIM,,67112,,,,,82.99Z,O,82.99,82.9,82,N,Activités de services administratifs et de soutien,Autres activités de soutien aux entreprises n.c.a.,,,,,plaine bruche
418272118,00013,41827211800013,,false,5710,ALCISE,82.92Z,12,PME,ZONE INDUSTRIELLE,,RUE,CLAUDE CHAPPE,67120,DUPPIGHEIM,,67108,,,,,82.92Z,N,82.92,82.9,82,N,Activités de services administratifs et de soutien,Activités de conditionnement,,,,,plaine bruche
418272118,00021,41827211800021,12,true,5710,ALCISE,82.92Z,12,PME,ZONE INDUSTRIELLE,,PL,DE LA GARE,67120,DUPPIGHEIM,,67108,,,,,82.92Z,O,82.92,82.9,82,N,Activités de services administratifs et de soutien,Activités de conditionnement,,,,,plaine bruche
419283262,00162,41928326200162,21,true,5710,KELLER FONDATIONS SPECIALES,43.99D,22,ETI,,2,RUE,DENIS PAPIN,67120,DUTTLENHEIM,CS 69224,67112,,,,,43.99D,O,43.99,43.9,43,F,Construction,Autres travaux spécialisés de construction,,,,,plaine bruche
419283262,00303,41928326200303,,false,5710,KELLER FONDATIONS SPECIALES,43.99D,22,ETI,,7,RUE,GUTENBERG,67120,DUTTLENHEIM,,67112,,,,,43.12A,O,43.99,43.9,43,F,Construction,Autres travaux spécialisés de construction,,,,,plaine bruche
420067951,00046,42006795100046,01,true,5710,PEINTURE SCHAEFFER,43.34Z,12,PME,,28,RUE,AMPERE,67120,DUTTLENHEIM,,67112,,,,,43.34Z,N,43.34,43.3,43,F,Construction,Travaux de peinture et vitrerie,,,,,plaine bruche
420128977,00022,42012897700022,02,true,5499,GINO CLESCERI,43.22A,02,PME,,12,RUE,AMPERE,67120,DUTTLENHEIM,,67112,,,,,43.22A,O,43.22,43.2,43,F,Construction,Travaux d'installation d'eau et de gaz en tous locaux,,,,,plaine bruche
420594186,00041,42059418600041,03,true,5710,STEIBLE LOADING-SYSTEMS,33.12Z,03,ETI,,30,RUE,AMPERE,67120,DUTTLENHEIM,,67112,,,,,33.12Z,O,33.12,33.1,33,C,Industrie manufacturière,Réparation de machines et équipements mécaniques,,,,,plaine bruche
421131368,00027,42113136800027,41,false,5710,LOHR INDUSTRIE,29.10Z,41,ETI,,,,ZONE INDUSTRIELLE,67120,DUPPIGHEIM,,67108,,,,,29.20Z,O,29.10,29.1,29,C,Industrie manufacturière,Construction de véhicules automobiles,,,,,plaine bruche
421842188,00052,42184218800052,21,false,5599,ASTEELFLASH FRANCE,26.12Z,41,ETI,,9,RUE,AMPERE,67120,DUTTLENHEIM,,67112,,,,,26.12Z,O,26.12,26.1,26,C,Industrie manufacturière,Fabrication de cartes électroniques assemblées,,,,,plaine bruche
421860438,00041,42186043800041,,true,5499,SARL AQUA POOLS,43.99D,01,PME,,2,RUE,DES PIONNIERS,67120,DUTTLENHEIM,,67112,,,,,43.99D,O,43.99,43.9,43,F,Construction,Autres travaux spécialisés de construction,,,,,plaine bruche
424990521,00017,42499052100017,11,true,5499,SARL COPIN,25.11Z,11,PME,,12,RUE,DE L ARTISANAT,67120,DUPPIGHEIM,,67108,,,,,25.11Z,O,25.11,25.1,25,C,Industrie manufacturière,Fabrication de structures métalliques et de parties de structures,,,,,plaine bruche
433999356,14979,43399935614979,,false,5710,RANDSTAD,78.20Z,51,GE,,,AV,DE LA CONCORDE,67120,ERNOLSHEIM-BRUCHE,,67128,,,RANDSTAD INHOUSE,RANDSTAD INHOUSE,78.20Z,O,78.20,78.2,78,N,Activités de services administratifs et de soutien,Activités des agences de travail temporaire,,,,,plaine bruche
440933711,00010,44093371100010,11,true,5499,CLIMATISATION GILBERT,43.22B,11,PME,,13,RUE,GUTENBERG,67120,DUTTLENHEIM,,67112,,,,,43.22B,O,43.22,43.2,43,F,Construction,Travaux d'installation d'équipements thermiques et de climatisation,A - de 32K,A - de 32K,A - de 32K,,plaine bruche
441464872,00031,44146487200031,03,true,5499,EX'M,33.12Z,03,PME,,5,RUE,AMPERE,67120,DUTTLENHEIM,,67112,,,,,33.12Z,O,33.12,33.1,33,C,Industrie manufacturière,Réparation de machines et équipements mécaniques,E + d 1M,E + d 1M,E + d 1M,,plaine bruche
442863494,00013,44286349400013,01,true,5710,LES COUVREURS RHENANS DEP REPARAT TOIT,43.91B,01,PME,,5,RUE,DE L'ARTISANAT,67120,DUPPIGHEIM,,67108,,,,,43.91B,O,43.91,43.9,43,F,Construction,Travaux de couverture par éléments,,,,,plaine bruche
444669097,00016,44466909700016,12,true,5710,KOVACIC HABITAT,43.32A,12,PME,,47,RUE,DE LA GARE,67120,ERNOLSHEIM-BRUCHE,,67128,,,,,46.73A,O,43.32,43.3,43,F,Construction,Travaux de menuiserie bois et PVC,,,,,plaine bruche
444872600,00036,44487260000036,11,true,5499,PRESTALOC,77.29Z,11,PME,,7,RUE,DE L'ARTISANAT,67120,DUPPIGHEIM,,67108,,,,,77.29Z,O,77.29,77.2,77,N,Activités de services administratifs et de soutien,Location et location-bail d'autres biens personnels et domestiques,,,,,plaine bruche
448051045,00020,44805104500020,03,true,5710,T.M.T,25.99B,03,PME,,7,RUE,AMPERE,67120,DUTTLENHEIM,,67112,,,,,25.99B,O,25.99,25.9,25,C,Industrie manufacturière,Fabrication d'autres articles métalliques,E + d 1M,E + d 1M,E + d 1M,1022342,plaine bruche
449082783,00019,44908278300019,02,true,5499,KAUFFER FRERES,10.89Z,02,PME,,13,RUE,GUTENBERG,67120,DUTTLENHEIM,,67112,,,,,10.89Z,O,10.89,10.8,10,C,Industrie manufacturière,Fabrication d'autres produits alimentaires n.c.a.,,,,,plaine bruche
449414424,00068,44941442400068,,true,5710,FLOBERGESCHAFT,47.71Z,11,PME,,3,RUE,DES PIONNIERS,67120,DUTTLENHEIM,,67112,,,,,47.71Z,O,47.71,47.7,47,G,Commerce ; réparation d'automobiles et de motocycles,Commerce de détail d'habillement en magasin spécialisé,,,,,plaine bruche
451222384,00013,45122238400013,01,true,5499,MARTINO ET ZEFFIRIA,68.31Z,01,PME,,5,AV,DE LA CONCORDE,67120,ERNOLSHEIM-BRUCHE,,67128,,,,,68.31Z,O,68.31,68.3,68,L,Activités immobilières,Agences immobilières,,,,,plaine bruche
451246326,00040,45124632600040,,false,5710,COLVEMAT PARTICIPATIONS,46.63Z,11,ETI,,30,RUE,AMPERE,67120,DUTTLENHEIM,,67112,,,,,46.90Z,O,46.63,46.6,46,G,Commerce ; réparation d'automobiles et de motocycles,"Commerce de gros (commerce interentreprises) de machines pour l'extraction, la construction et le génie civil",,,,,plaine bruche
452628373,00014,45262837300014,01,true,6599,MCT-TECH HOLDING,64.20Z,01,PME,ZONE INDUSTRIELLE,83,RUE,DE LA GARE,67120,DUTTLENHEIM,,67112,,,,,64.20Z,O,64.20,64.2,64,K,Activités financières et d'assurance,Activités des sociétés holding,,,,,plaine bruche
452960024,00019,45296002400019,02,true,5499,COUVREURS RHENANS,43.91B,02,PME,,5,RUE,DE L ARTISANAT,67120,DUPPIGHEIM,,67108,,,,,43.91B,O,43.91,43.9,43,F,Construction,Travaux de couverture par éléments,,,,,plaine bruche
479508327,00026,47950832700026,01,true,5499,ACTIS,46.69B,01,PME,,3,RUE,DES PIONNIERS,67120,DUTTLENHEIM,,67112,,,,,46.69B,O,46.69,46.6,46,G,Commerce ; réparation d'automobiles et de motocycles,Commerce de gros (commerce interentreprises) de fournitures et équipements industriels divers,,,,,plaine bruche
481033934,00037,48103393400037,00,true,5499,MECANUM INTERNATIONAL,68.20B,00,PME,ZONE INDUSTRIELLE,30,RUE,AMPERE,67120,DUTTLENHEIM,,67112,,,,,68.20B,N,68.20,68.2,68,L,Activités immobilières,Location de terrains et d'autres biens immobiliers,,,,,plaine bruche
481050912,00023,48105091200023,03,true,5710,LORENZ LIGHT TECHNIC,47.59B,03,PME,7A,,RUE,AMPERE,67120,DUTTLENHEIM,,67112,,,,,47.59B,O,47.59,47.5,47,G,Commerce ; réparation d'automobiles et de motocycles,Commerce de détail d'autres équipements du foyer,,,,,plaine bruche
483162608,00028,48316260800028,02,true,5499,M.D.S.,46.41Z,02,PME,7A,,RUE,GUTENBERG,67120,DUTTLENHEIM,,67112,,,,,46.41Z,O,46.41,46.4,46,G,Commerce ; réparation d'automobiles et de motocycles,Commerce de gros (commerce interentreprises) de textiles,,,,,plaine bruche
483712055,00019,48371205500019,02,true,5499,MENUISERIE GODECKE HEINZ,43.32A,02,PME,,13,AV,DE LA CONCORDE,67120,ERNOLSHEIM-BRUCHE,,67128,,,,,43.32A,O,43.32,43.3,43,F,Construction,Travaux de menuiserie bois et PVC,,,,,plaine bruche
484628029,00023,48462802900023,02,true,5499,COSEEC SPORTS ET ENVIRONNEMENT,81.30Z,02,PME,,6,AV,JEAN PRECHEUR,67120,DUPPIGHEIM,,67108,,,,,81.30Z,O,81.30,81.3,81,N,Activités de services administratifs et de soutien,Services d'aménagement paysager,,,,,plaine bruche
484733043,00125,48473304300125,,false,5710,GROUPE SGP,80.10Z,32,ETI,,7,RUE,GUTENBERG,67120,DUTTLENHEIM,,67112,,,,,80.10Z,O,80.10,80.1,80,N,Activités de services administratifs et de soutien,Activités de sécurité privée,,,,,plaine bruche
488274556,00031,48827455600031,,true,5710,INOVAME,72.19Z,11,PME,,8,AV,JEAN PRECHEUR,67120,DUPPIGHEIM,,67108,,,,,72.19Z,N,72.19,72.1,72,M,"Activités spécialisées, scientifiques et techniques",Recherche-développement en autres sciences physiques et naturelles,,,,,plaine bruche
488277781,00024,48827778100024,02,true,5499,AUTOMATISMES JACQUES,43.32A,02,PME,,28,RUE,DE LA GARE,67120,DUPPIGHEIM,,67108,,,MCS,,43.32A,O,43.32,43.3,43,F,Construction,Travaux de menuiserie bois et PVC,,,,,plaine bruche
493425896,00013,49342589600013,11,true,5710,EIFFAGE ENERGIE SYSTEMES - LOHNER MAINTENANCE ET TECHNIQUE,43.22B,11,GE,,32,RUE,DE LA GARE,67120,DUPPIGHEIM,,67108,,,,LOHNER MAINTENANCE ET TECHNIQUE,43.22B,O,43.22,43.2,43,F,Construction,Travaux d'installation d'équipements thermiques et de climatisation,,,,,plaine bruche
493471528,00098,49347152800098,,true,5710,FLOBERSARRE,47.71Z,03,PME,,3,RUE,DES PIONNIERS,67120,DUTTLENHEIM,,67112,,,,,47.71Z,O,47.71,47.7,47,G,Commerce ; réparation d'automobiles et de motocycles,Commerce de détail d'habillement en magasin spécialisé,,,,,plaine bruche
493489314,00028,49348931400028,03,true,5499,TECHNIQUE MAINTENANCE SERVICES,33.12Z,03,PME,,10,RUE,DENIS PAPIN,67120,DUTTLENHEIM,,67112,,,,,33.12Z,O,33.12,33.1,33,C,Industrie manufacturière,Réparation de machines et équipements mécaniques,,,,,plaine bruche
493654693,00024,49365469300024,03,true,5499,EMCO FRANCE,16.24Z,03,PME,,7,RUE,AMPERE,67120,DUTTLENHEIM,,67112,,,,,16.24Z,O,16.24,16.2,16,C,Industrie manufacturière,Fabrication d'emballages en bois,,,,,plaine bruche
494887631,00039,49488763100039,32,false,5710,MARS PF FRANCE,10.92Z,41,GE,,,AV,DE LA CONCORDE,67120,ERNOLSHEIM-BRUCHE,,67128,,,,,10.92Z,O,10.92,10.9,10,C,Industrie manufacturière,Fabrication d'aliments pour animaux de compagnie,,,,,plaine bruche
497929604,00039,49792960400039,,true,5499,RBNANO,71.12B,02,PME,,12,RUE,DE L ARTISANAT,67120,DUPPIGHEIM,,67108,,,,,71.12B,O,71.12,71.1,71,M,"Activités spécialisées, scientifiques et techniques","Ingénierie, études techniques",,,,,plaine bruche
